"etiqueta","pregunta"
"p38d","38d. Desde su punto de vista, ¿qué tanta responsabilidad tiene Organizaciones de la sociedad civil en el combate a la corrupción?"
"p38e","38e. Desde su punto de vista, ¿qué tanta responsabilidad tiene Los empresarios en el combate a la corrupción?"
"p39a","39a. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? a. Si el Presidente es honesto, ya no habrá corrupción en el gobierno"
"p39b","39b. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? b. Los funcionarios públicos cumplirán con la ley si firman un compromiso de ética"
"p39c","39c. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? c. Las personas se comportarían correctamente si hubiera una Constitución Moral"
"p39d","39d. ¿Usted está de acuerdo o en desacuerdo con las siguientes frases? d. Castigar la corrupción con penas más severas ayudaría a reducirla"
"p40","40. ¿Cómo evaluaría el trabajo del Sistema Nacional Anticorrupción, diría que lo está haciendo muy bien, bien, mal o muy mal?"
"p41a","41a. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por Los expresidentes, como Enrique Peña y Felipe Calderón?"
"p41b","41b. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por Ex gobernadores, como Javier Duarte?"
"p41c","41c. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por Algunos ciudadanos?"
"p42","42. Independientemente de por quién haya votado en el pasado, ¿con cuál partido se identifica usted más?"
"p43","43. ¿Por cuál partido NUNCA votaría?"
"p44","44. ¿Hasta qué año estudió usted?"
"p45","45. ¿Cuál es su principal ocupación? ¿A qué se dedica usted?"
"p46a","46a. ¿Usted Tiene teléfono celular?"
"p46b","46b. ¿Usted Tiene teléfono fijo en su hogar?"
"p46c","46c. ¿Usted Tiene acceso a internet desde su celular?"
"p46d","46d. ¿Usted Tiene internet fijo en su hogar?"
"p46e","46e. ¿Usted Utiliza Twitter?"
"p46f","46f. ¿Usted Utiliza Facebook?"
"p46g","46g. ¿Usted Utiliza Whatsapp?"
"p47","47. Sumando todo lo que ganan los integrantes de este hogar, ¿cuánto ganan en total al mes?"
"boleta1","Si hoy hubiera elecciones para Presidente de la República, ¿por quién votaría usted?"
"boleta2","Si hoy hubiera elecciones para Diputados Federales, ¿por cuál partido votaría usted?"
"final","Hora de fin de entrevista"
"dia","DIA "
"escol_x","Escolaridad"
"gedad","Grupos de edad"
"cruce","Grupos de sexo y edad"
"ponde_rake","Raked Weight"
"cve_unica_sec","Clave Única de Identificación de la Sección electoral"
"circ","Circunscripción"
"claveentidad","Clave Entidad"
"entidad","Nombre Entidad"
"clavemun","Clave Municipio"
"municipio","Nombre Municipio"
"distritofederal","Distrito Electoral Federal"
"seccion","Sección Electoral"
"tipo1","Tipo de Sección (3 tipos)"
"tipo2","Tipo de sección (2 tipos)"
"fe_final_","Factor de Expansión Final que considera raking por escolaridad y grupos de sexo y edad; y ajusta eliminando efectos de redondeo"
"p1_recodificada","1. En su opinión, ¿cuál es el principal problema que hay en el País hoy en día?"
"p19_recodificada","19. En los últimos 12 meses, ¿cuántas de las siguientes actividades ha realizado? No necesito que me diga cuáles, únicamente cuántas."
