"etiqueta","pregunta"
"p32c","32C. ¿Qué tanto diría que la corrupción de gobernantes y políticos lo afectan a usted y a su familia en los siguientes aspectos? La seguridad pública y protección de su familia"
"p33a","33A. Desde su punto de vista, ¿qué tanta responsabilidad tiene El Gobierno en el combate a la corrupción?"
"p33b","33B. Desde su punto de vista, ¿qué tanta responsabilidad tiene Los ciudadanos en el combate a la corrupción?"
"p33c","33C. Desde su punto de vista, ¿qué tanta responsabilidad tiene Los medios de comunicación en el combate a la corrupción?"
"p33d","33D. Desde su punto de vista, ¿qué tanta responsabilidad tiene Organizaciones de la sociedad civil en el combate a la corrupción?"
"p33e","33E. Desde su punto de vista, ¿qué tanta responsabilidad tiene  Los empresarios en el combate a la corrupción?"
"p34a","34A. ¿Está de acuerdo o en desacuerdo con las siguientes frases? Cancelar algunos contratos de Gobierno, aunque haya escasez o desabasto, es necesario para combatir la corrupción"
"p34b","34B. ¿Está de acuerdo o en desacuerdo con las siguientes frases? Si el Presidente es honesto, ya no habrá corrupción en el gobierno"
"p34c","34C. ¿Está de acuerdo o en desacuerdo con las siguientes frases? El desabasto de medicamentos en algunas clínicas y hospitales públicos es resultado del combate efectivo a la corrupción"
"p34d","34D. ¿Está de acuerdo o en desacuerdo con las siguientes frases? El huachicol se ha logrado reducir con el Gobierno de López Obrador"
"p34e","34E. ¿Está de acuerdo o en desacuerdo con las siguientes frases? Hay temas más urgentes en México que combatir la corrupción"
"p34f","34F. ¿Está de acuerdo o en desacuerdo con las siguientes frases? Si se logra acabar con la corrupción también se reducirá la inseguridad"
"p34g","34G. ¿Está de acuerdo o en desacuerdo con las siguientes frases? Castigar la corrupción con penas más severas ayudará a reducirla"
"p35","35. ¿El Gobierno debe de perdonar o castigar actos de corrupción cometidos por los expresidentes Enrique Peña Nieto y Felipe Calderón?"
"p36","36. ¿Cómo evaluaría el trabajo del Sistema Nacional Anticorrupción, diría que lo está haciendo muy bien, bien, mal o muy mal?"
"p37","37. ¿Hasta qué año estudió usted?"
"p38","38. ¿Cuál es su principal ocupación? ¿A qué se dedica usted?"
"p39a","39A. ¿Usted Tiene teléfono celular?"
"p39b","39B. ¿Usted Tiene teléfono fijo en su hogar ?"
"p39c","39C. ¿Usted Tiene acceso a internet desde su celular?"
"p39d","39D. ¿Usted Tiene internet fijo en su hogar ?"
"p39e","39E. ¿Usted Utiliza Twitter ?"
"p39f","39F. ¿Usted Utiliza Facebook?"
"p39g","39G. ¿Usted Utiliza Whatsapp?"
"p40a","40A. ¿Usted o alguien de su familia es beneficiario del programa Pensión para Adultos Mayores?"
"p40b","40B. ¿Usted o alguien de su familia es beneficiario del programa Beca para estudiantes Benito Juárez?"
"p40c","40C. ¿Usted o alguien de su familia es beneficiario del programa Sembrando Vida?"
"p40d","40D. ¿Usted o alguien de su familia es beneficiario del programa Jóvenes Construyendo el Futuro?"
"p40e","40E. ¿Usted o alguien de su familia es beneficiario del programa Pensión para personas con discapacidad?"
"p40f","40F. ¿Usted o alguien de su familia es beneficiario del programa Apoyo económico para madres solteras?"
"p40g","40G. ¿Usted o alguien de su familia es beneficiario del programa Tandas del bienestar?"
"p40h","40H. ¿Usted o alguien de su familia es beneficiario del programa Algún otro programa social que no le haya mencionado?"
"p41","41. ¿A usted o a alguno de sus familiares le pidieron un favor, apoyo político o dinero a cambio de recibir alguno de estos programas?"
"p42","42. Por lo que usted sabe, ¿gracias a quién recibe este beneficio?"
"p43","43.Sumando todo lo que ganan los integrantes de este hogar, ¿cuánto ganan en total al mes?"
"boleta","Si hoy hubiera elecciones para Diputados Federales, ¿por cuál partido votaría usted?"
"final","FINAL "
"dia","DIA "
"minutos",""
"edad_rec_1","Edad recodificada"
"circ","Circunscripción"
"claveentidad","Clave Entidad"
"entidad",""
"clavemun",""
"distritofederal",""
"tipo2","Tipo de sección (2 tipos)"
"ln20191025",""
"estrato",""
"mos35",""
"gedad","Grupos de edad"
"cruce",""
"escol_x","Escolaridad"
"ponde_rake","Ponderación de Raked"
"ponde_rake_escol","Ponderación de Raked"
"nsecciones","Número de secciones levantadas por estrato"
"nvotantes","Número de entrevistas levantadas por sección"
"fe_secciones_","Factor de Expansión de las secciones en el estrato"
"fe_votantes_","Factor de Expansión de los votantes en la sección"
"fe_prefinal_","Factor de Expansión PreFinal que considera al ponderador ponde para postestratificar"
"pondajuste","Ajuste necesario para eliminar efectos de redondeo y problemas de marco muestral"
"fe_final_","Factor de Expansión Final que considera raking por escolaridad y grupos de sexo y edad; y ajusta eliminando efectos de redondeo"
"p1r","1. En su opinión, ¿cuál es el principal problema que hay en el País hoy en día?"
"p3r",""
